ZCTA,density,classification
5052,59,3
5053,17,3
5055,33,3
5056,6,3
5058,36,3
5059,70,3
5060,28,3
5061,19,3
5062,7,3
5065,14,3
5067,7,3
5068,28,3
5069,18,3
5070,15,3
5071,8,3
5072,8,3
5075,18,3
5076,6,3
5077,12,3
5079,8,3
5081,27,3
5086,13,3
5089,53,3
5091,22,3
5101,56,3
5142,11,3
5143,20,3
5146,8,3
5148,19,3
5149,22,3
5150,156,2
5151,25,3
5152,5,3
5153,25,3
5154,96,3
5155,9,3
5156,63,3
5158,40,3
5161,7,3
5201,65,3
5250,16,3
5251,17,3
5252,3,3
5253,23,3
5254,62,3
5255,49,3
5257,71,3
5260,18,3
5261,35,3
5262,14,3
5301,50,3
5340,8,3
5341,13,3
5342,16,3
5343,9,3
5345,18,3
5346,29,3
5350,9,3
5352,8,3
5353,13,3
5354,45,3
5355,12,3
5356,16,3
5359,9,3
5360,2,3
5361,13,3
5363,14,3
5401,2049,1
5403,479,2
5404,2232,2
5408,976,2
5440,28,3
5441,11,3
5442,5,3
5443,23,3
5444,33,3
5445,34,3
5446,171,2
5448,11,3
5450,16,3
5452,191,2
5454,35,3
5455,12,3
5456,20,3
5457,16,3
5458,52,3
5459,31,3
5461,44,3
5462,20,3
5463,26,3
5464,19,3
5465,46,3
5468,75,3
5471,7,3
5472,17,3
5473,31,3
5474,26,3
5476,19,3
5477,37,3
5478,97,3
5482,118,2
5483,25,3
5486,46,3
5487,13,3
5488,46,3
5489,23,3
5491,27,3
5492,17,3
5494,19,3
5495,113,2
5602,67,3
5641,137,2
5647,15,3
5648,20,3
5649,14,3
5650,20,3
5651,36,3
5652,9,3
5653,7,3
5654,140,2
5655,35,3
5656,26,3
5658,15,3
5660,17,3
5661,36,3
5663,39,3
5667,20,3
5669,7,3
5672,27,3
5673,21,3
5674,19,3
5675,11,3
5676,21,3
5677,61,3
5679,34,3
5680,13,3
5681,8,3
5682,11,3
5701,159,2
5730,9,3
5732,31,3
5733,22,3
5734,12,3
5735,35,3
5736,50,3
5737,5,3
5738,9,3
5739,11,3
5742,10,3
5743,18,3
5744,10,3
5747,2,3
5748,4,3
5751,8,3
5753,42,3
5757,15,3
5758,11,3
5759,44,3
5760,11,3
5761,11,3
5762,12,3
5763,40,3
5764,29,3
5765,94,3
5766,6,3
5767,9,3
5769,15,3
5770,11,3
5772,7,3
5773,13,3
5774,23,3
5775,20,3
5776,7,3
5777,29,3
5778,12,3
5819,43,3
5820,11,3
5821,15,3
5822,21,3
5824,9,3
5826,13,3
5827,9,3
5828,15,3
5829,35,3
5830,21,3
5832,14,3
5833,9,3
5836,15,3
5837,3,3
5839,13,3
5841,7,3
5842,11,3
5843,29,3
5845,11,3
5846,10,3
5847,6,3
5851,31,3
5853,10,3
5855,52,3
5857,15,3
5858,2,3
5859,14,3
5860,14,3
5862,5,3
5866,9,3
5867,10,3
5868,11,3
5871,15,3
5872,14,3
5873,10,3
5874,6,3
5875,11,3
5903,6,3
5904,222,2
5905,2,3
5906,11,3
6001,307,2
6002,328,2
6010,958,2
6013,111,2
6016,170,2
6018,106,2
6019,178,2
6021,21,3
6023,549,2
6024,32,3
6026,122,2
6027,35,3
6029,184,2
6031,15,3
6032,326,2
6033,323,2
6035,189,2
6037,288,2
6039,43,3
6040,860,2
6042,968,2
6043,133,2
6051,2871,1
6052,1252,2
6053,1644,2
6057,69,3
6058,15,3
6060,72,3
6062,867,2
6063,43,3
6065,34,3
6066,734,2
6067,617,2
6068,23,3
6069,23,3
6070,258,2
6071,116,2
6073,121,2
6074,353,2
6076,59,3
6078,151,2
6081,899,2
6082,505,2
6084,133,2
6085,599,2
6088,196,2
6089,421,2
6090,32,3
6092,165,2
6093,77,3
6095,380,2
6096,544,2
6098,94,3
6103,1853,1
6105,4189,1
6106,3249,1
6107,1158,2
6108,1136,1
6109,910,2
6110,1511,2
6111,955,2
6112,2744,1
6114,2331,1
6117,573,2
6118,1109,2
6119,3306,1
6120,1131,1
6226,938,2
6231,91,3
6232,80,3
6234,98,3
6235,47,3
6237,100,3
6238,128,2
6239,192,2
6241,93,3
6242,21,3
6247,32,3
6248,93,3
6249,49,3
6250,113,2
6254,37,3
6255,83,3
6256,131,2
6259,40,3
6260,196,2
6262,283,2
6263,563,2
6266,205,2
6268,132,2
6277,69,3
6278,45,3
6279,73,3
6280,85,3
6281,50,3
6282,74,3
6320,1875,1
6330,68,3
6331,48,3
6333,102,2
6334,51,3
6335,233,2
6339,115,2
6340,532,2
6351,121,2
6354,112,2
6355,396,2
6357,453,2
6359,38,3
6360,571,2
6365,61,3
6370,116,2
6371,76,3
6373,37,3
6374,120,2
6375,179,2
6377,65,3
6378,113,2
6379,317,2
6380,1221,2
6382,228,2
6384,27,3
6385,264,2
6390,29,3
6401,1249,2
6403,244,2
6405,597,2
6409,243,2
6410,307,2
6412,107,2
6413,327,2
6415,114,2
6416,495,2
6417,144,2
6418,1064,2
6419,70,3
6420,53,3
6422,110,2
6423,51,3
6424,125,2
6426,267,2
6437,185,2
6438,82,3
6441,79,3
6442,318,2
6443,193,2
6444,193,2
6447,98,2
6450,1029,2
6451,978,2
6455,113,2
6456,138,2
6457,484,2
6460,1294,2
6461,568,2
6468,258,2
6469,128,2
6470,148,2
6471,341,2
6472,149,2
6473,426,2
6475,282,2
6477,298,2
6478,138,2
6479,552,2
6480,164,2
6481,286,2
6482,193,2
6483,458,2
6484,500,2
6488,211,2
6489,451,2
6492,457,2
6498,187,2
6510,6602,1
6511,3471,1
6512,1161,2
6513,2015,2
6514,915,2
6515,1404,2
6516,1964,2
6517,1256,2
6518,433,2
6519,3106,1
6524,93,2
6525,177,2
6604,3368,1
6605,3670,1
6606,3092,1
6607,2312,1
6608,4273,1
6610,2820,1
6611,533,2
6612,95,2
6614,1174,2
6615,1110,1
6702,2765,1
6704,1173,2
6705,1926,2
6706,1439,2
6708,1241,2
6710,3687,1
6712,236,2
6716,294,2
6750,84,3
6751,74,3
6752,44,3
6754,21,3
6755,94,3
6756,32,3
6757,28,3
6758,53,3
6759,47,3
6762,158,2
6763,56,3
6770,740,2
6776,182,2
6777,47,3
6778,73,3
6779,1046,2
6782,118,2
6783,36,3
6784,62,2
6785,21,3
6786,272,2
6787,257,2
6790,368,2
6791,71,3
6793,34,3
6794,33,3
6795,203,2
6796,12,3
6798,116,2
6801,411,2
6804,310,2
6807,855,2
6810,855,2
6811,529,2
6812,235,2
6820,529,2
6824,567,2
6825,1106,2
6830,721,2
6831,197,2
6840,316,2
6850,1063,2
6851,1382,2
6853,1200,2
6854,2204,1
6855,1367,2
6870,1141,2
6877,255,2
6878,1116,2
6880,482,2
6883,171,2
6890,543,2
6896,110,2
6897,230,2
6901,8516,1
6902,2309,1
6903,288,2
6905,1549,2
6906,2926,1
6907,1718,2
7001,1284,2
7002,4325,1
7003,3477,2
7004,256,2
7005,304,2
7006,1014,2
7008,1706,2
7009,1064,2
7010,10330,1
7011,3894,1
7012,2342,1
7013,2451,1
7014,1397,1
7016,1777,2
7017,6159,1
7018,6569,1
7020,6029,2
7021,515,2
7022,5764,2
7023,1958,2
7024,6419,1
7026,5098,1
7027,2678,2
7028,1940,2
7029,4313,2
7030,19811,1
7031,2458,2
7032,1534,2
7033,1317,1
7034,2874,2
7035,600,2
7036,1439,2
7039,723,2
7040,2366,2
7041,1994,2
7042,2833,2
7043,1685,2
7044,1968,2
7045,522,2
7046,504,2
7047,4297,2
7050,5096,2
7052,1392,2
7054,817,2
7055,6185,1
7057,4717,2
7058,629,2
7059,259,2
7060,2821,1
7062,2368,1
7063,2107,2
7064,930,2
7065,2703,1
7066,1293,2
7067,1561,2
7068,663,2
7069,355,2
7070,2476,2
7071,1829,2
7072,595,2
7073,1022,2
7074,801,2
7075,2679,2
