status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,1899000,2,2,,"140 Shawmut Ave Unit 3D, Boston, MA, 02118",140 Shawmut Ave Unit 3D,Boston,Massachusetts,2118,1727,
for_sale,817900,1,1,,"100 Shawmut Ave Unit 1011, Boston, MA, 02118",100 Shawmut Ave Unit 1011,Boston,Massachusetts,2118,598,
for_sale,1695000,3,3,,"771 Harrison Ave Unit 406, Boston, MA, 02118",771 Harrison Ave Unit 406,Boston,Massachusetts,2118,1830,
for_sale,279900,2,2,0.03,"843 N Shore Rd, Revere, MA, 02151",843 N Shore Rd,Revere,Massachusetts,2151,936,
for_sale,339900,2,1,0.02,"416 Seaver St Apt 6, Boston, MA, 02121",416 Seaver St Apt 6,Boston,Massachusetts,2121,712,
for_sale,779900,5,3,0.12,"182 Proctor Ave, Revere, MA, 02151",182 Proctor Ave,Revere,Massachusetts,2151,3081,
for_sale,1489000,8,6,0.06,"126 Marion St, Boston, MA, 02128",126 Marion St,Boston,Massachusetts,2128,4440,
for_sale,675000,1,1,,"43 Upton St Apt 2, Boston, MA, 02118",43 Upton St Apt 2,Boston,Massachusetts,2118,730,
for_sale,1649900,12,5,0.15,"951 Blue Hill Ave, Boston, MA, 02124",951 Blue Hill Ave,Boston,Massachusetts,2124,5445,
for_sale,715000,2,2,,"301 Border St Unit 209, Boston, MA, 02128",301 Border St Unit 209,Boston,Massachusetts,2128,912,
for_sale,2539000,3,4,,"11 Fayette St Unit 2, Boston, MA, 02116",11 Fayette St Unit 2,Boston,Massachusetts,2116,2060,
for_sale,749000,2,2,,"211 Condor St Unit 1, Boston, MA, 02128",211 Condor St Unit 1,Boston,Massachusetts,2128,1143,
for_sale,3445000,7,8,0.03,"506 E Broadway, Boston, MA, 02127",506 E Broadway,Boston,Massachusetts,2127,5928,
for_sale,2150000,2,3,,"Zero Worcester Sq Unit TH1, Boston, MA, 02118",Zero Worcester Sq Unit TH1,Boston,Massachusetts,2118,1514,
for_sale,2150000,2,3,,"1672-1672R Washington St Unit TH1, South End, MA, 02118",1672-1672R Washington St Unit TH1,South End,Massachusetts,2118,1514,
for_sale,889900,2,1,,"45 Lewis St Apt 401, Boston, MA, 02128",45 Lewis St Apt 401,Boston,Massachusetts,2128,868,
for_sale,2395000,2,4,,"771 Harrison Ave Ph 12, Boston, MA, 02118",771 Harrison Ave Ph 12,Boston,Massachusetts,2118,2361,
for_sale,1049000,2,2,,"362-364 W Broadway Unit 3, Boston, MA, 02127",362-364 W Broadway Unit 3,Boston,Massachusetts,2127,1284,
for_sale,1225000,9,4,0.1,"128-130 Norwell St, Boston, MA, 02121",128-130 Norwell St,Boston,Massachusetts,2121,3396,
for_sale,800000,,,0.12,"50 Torrey St, Boston, MA, 02124",50 Torrey St,Boston,Massachusetts,2124,3280,
